index,table_id,table_name,download_URL,accessURL,data_format,last_update,dataset_id,dataset_name,frequency
34,8af52489-56d6-4d17-b998-7bc837359dae,opencnil-volumes-plaintes-depuis-1981-maj-juin-2023.xlsx,https://static.data.gouv.fr/resources/plaintes-recues-par-la-cnil/20230628-083606/opencnil-volumes-plaintes-depuis-1981-maj-juin-2023.xlsx,https://www.data.gouv.fr/datasets/555b616ec751df4bb2190c78/#resource-8af52489-56d6-4d17-b998-7bc837359dae,xlsx,2023-06-28T08:36:12.409000,555b616ec751df4bb2190c78,plaintes-recues-par-la-cnil,annual
35,0f678674-4327-4c4d-8819-b6f508b41d0e,opencnil-volumes-plaintes-depuis-1981-maj-juin-2023.csv,https://static.data.gouv.fr/resources/plaintes-recues-par-la-cnil/20230628-083540/opencnil-volumes-plaintes-depuis-1981-maj-juin-2023.csv,https://www.data.gouv.fr/datasets/555b616ec751df4bb2190c78/#resource-0f678674-4327-4c4d-8819-b6f508b41d0e,csv,2023-06-28T08:35:46.905000,555b616ec751df4bb2190c78,plaintes-recues-par-la-cnil,annual
36,3f43b14a-c403-4235-b0bd-91d6a84cc949,opencnil-nombre-controles-depuis-1990-maj-juin-2023.csv,https://static.data.gouv.fr/resources/controles-realises-par-la-cnil/20230628-081434/opencnil-nombre-controles-depuis-1990-maj-juin-2023.csv,https://www.data.gouv.fr/datasets/555c431bc751df5800190c78/#resource-3f43b14a-c403-4235-b0bd-91d6a84cc949,csv,2023-06-28T08:14:40.613000,555c431bc751df5800190c78,controles-realises-par-la-cnil,annual
37,d6fd9a3d-c1e4-408c-a640-2cba1c016851,opencnil-nombre-controles-depuis-1990-maj-juin-2023.xlsx,https://static.data.gouv.fr/resources/controles-realises-par-la-cnil/20230628-081348/opencnil-nombre-controles-depuis-1990-maj-juin-2023.xlsx,https://www.data.gouv.fr/datasets/555c431bc751df5800190c78/#resource-d6fd9a3d-c1e4-408c-a640-2cba1c016851,xlsx,2023-06-28T08:13:57.738000,555c431bc751df5800190c78,controles-realises-par-la-cnil,annual
38,a98f65fa-a4e7-465e-8ab0-9bd8548fdf21,open-data-controles-2021-v20220921.csv,https://static.data.gouv.fr/resources/controles-realises-par-la-cnil/20221025-111715/open-data-controles-2021-v20220921.csv,https://www.data.gouv.fr/datasets/555c431bc751df5800190c78/#resource-a98f65fa-a4e7-465e-8ab0-9bd8548fdf21,csv,2022-10-25T11:17:20.715000,555c431bc751df5800190c78,controles-realises-par-la-cnil,annual
39,1885ab39-5195-49d3-9459-8e586cf73c9e,open-data-controles-2021-v20220921.xlsx,https://static.data.gouv.fr/resources/controles-realises-par-la-cnil/20221025-111639/open-data-controles-2021-v20220921.xlsx,https://www.data.gouv.fr/datasets/555c431bc751df5800190c78/#resource-1885ab39-5195-49d3-9459-8e586cf73c9e,xlsx,2022-10-25T11:16:45.784000,555c431bc751df5800190c78,controles-realises-par-la-cnil,annual
40,40f96c85-5d8c-4865-814a-5466b37208e3,open-data-controles-2020-vd-20210603.csv,https://static.data.gouv.fr/resources/controles-realises-par-la-cnil/20210603-121859/open-data-controles-2020-vd-20210603.csv,https://www.data.gouv.fr/datasets/555c431bc751df5800190c78/#resource-40f96c85-5d8c-4865-814a-5466b37208e3,csv,2021-06-03T12:20:05.878000,555c431bc751df5800190c78,controles-realises-par-la-cnil,annual
41,412e3968-f7b7-493f-9b32-cef9b23f5a0b,open-data-controles-2020-vd-20210603.xlsx,https://static.data.gouv.fr/resources/controles-realises-par-la-cnil/20210603-121635/open-data-controles-2020-vd-20210603.xlsx,https://www.data.gouv.fr/datasets/555c431bc751df5800190c78/#resource-412e3968-f7b7-493f-9b32-cef9b23f5a0b,xlsx,2021-06-03T12:16:52.934000,555c431bc751df5800190c78,controles-realises-par-la-cnil,annual
42,555c53c0c751df5d48190c78,Marchés publics de la CNIL ,,https://www.data.gouv.fr/datasets/555c53c0c751df5d48190c78/,,2021-06-02T10:47:27.005000,555c53c0c751df5d48190c78,marches-publics-de-la-cnil,annual
43,ff8a9567-f80d-412b-a09a-471e37a8e038,opencnil-marches-publics-2014-2020.xlsx,https://static.data.gouv.fr/resources/marches-publics-de-la-cnil/20210602-104255/opencnil-marches-publics-2014-2020.xlsx,https://www.data.gouv.fr/datasets/555c53c0c751df5d48190c78/#resource-ff8a9567-f80d-412b-a09a-471e37a8e038,xlsx,2021-06-02T10:43:06.673000,555c53c0c751df5d48190c78,marches-publics-de-la-cnil,annual
